class,precision,recall,f1,support,is_special
PlayStation,1.0,0.5,0.6666666666666666,4,False
Centek,0.8333333333333334,0.8333333333333334,0.8333333333333334,12,False
UNKNOWN,0.9378640776699029,0.7866449511400652,0.8556244464127547,614,True
Electrolux,0.8181818181818182,0.9,0.8571428571428571,20,False
NO_BRAND,0.8641259320629661,0.8869047619047619,0.8753671842215694,1176,True
Krona,0.8571428571428571,0.9230769230769231,0.8888888888888888,13,False
Beko,0.868421052631579,0.9166666666666666,0.8918918918918919,36,False
Hi,1.0,0.8095238095238095,0.8947368421052632,21,False
Candy,0.8571428571428571,0.9375,0.8955223880597015,32,False
Gefest,0.88,0.9166666666666666,0.8979591836734694,24,False
Philips,0.9069767441860465,0.9069767441860465,0.9069767441860465,43,False
DeLonghi,0.8571428571428571,0.967741935483871,0.9090909090909091,31,False
Bosch,0.85,0.9807692307692307,0.9107142857142857,52,False
Gorenje,0.86,0.9772727272727273,0.9148936170212766,88,False
Kuppersberg,0.8717948717948718,0.9714285714285714,0.918918918918919,35,False
Maunfeld,1.0,0.85,0.918918918918919,20,False
TalleR,0.8571428571428571,1.0,0.9230769230769231,6,False
Atvel,1.0,0.8571428571428571,0.9230769230769231,7,False
Deppa,0.8571428571428571,1.0,0.9230769230769231,12,False
Karcher,0.8636363636363636,1.0,0.926829268292683,19,False
Redmond,0.8695652173913043,1.0,0.9302325581395349,20,False
Polaris,0.8709677419354839,1.0,0.9310344827586207,27,False
Midea,0.9056603773584906,0.96,0.9320388349514563,50,False
Sber,0.9333333333333333,0.9333333333333333,0.9333333333333333,15,False
Kingston,0.875,1.0,0.9333333333333333,7,False
Dreame,0.9420289855072463,0.9420289855072463,0.9420289855072463,69,False
Baseus,0.8928571428571429,1.0,0.9433962264150944,25,False
Brayer,1.0,0.9090909090909091,0.9523809523809523,11,False
Tefal,0.94,0.9690721649484536,0.9543147208121827,97,False
Sony,0.9545454545454546,0.9545454545454546,0.9545454545454546,44,False
JBL,0.9482758620689655,0.9649122807017544,0.9565217391304348,57,False
Moulinex,1.0,0.9166666666666666,0.9565217391304348,12,False
LG,0.95,0.9693877551020408,0.9595959595959596,98,False
Carrera,0.9259259259259259,1.0,0.9615384615384616,25,False
DEMIAND,1.0,0.9285714285714286,0.9629629629629629,14,False
Thunderobot,0.9333333333333333,1.0,0.9655172413793104,14,False
Logitech,0.9411764705882353,1.0,0.9696969696969697,32,False
Яндекс,0.9418604651162791,1.0,0.9700598802395209,81,False
Hisense,0.9647058823529412,0.9761904761904762,0.9704142011834319,84,False
Indesit,0.9428571428571428,1.0,0.9705882352941176,33,False
Braun,0.9459459459459459,1.0,0.9722222222222222,35,False
Canon,1.0,0.9615384615384616,0.9803921568627451,26,False
TCL,0.9818181818181818,0.9818181818181818,0.9818181818181818,55,False
Dyson,1.0,0.9666666666666667,0.9830508474576272,30,False
Apple,0.990234375,1.0,0.9950932286555446,507,False
Haier,0.9950980392156863,0.9950980392156863,0.9950980392156863,204,False
Xiaomi,1.0,0.9973333333333333,0.9986648865153538,375,False
Samsung,0.9984544049459042,1.0,0.9992266047950503,646,False
Infinix,1.0,1.0,1.0,23,False
Grundig,1.0,1.0,1.0,7,False
HONOR,1.0,1.0,1.0,141,False
HUAWEI,1.0,1.0,1.0,255,False
ASUS,1.0,1.0,1.0,77,False
BQ,1.0,1.0,1.0,6,False
MSI,1.0,1.0,1.0,32,False
Kitfort,1.0,1.0,1.0,40,False
Oasis,1.0,1.0,1.0,4,False
Pantum,1.0,1.0,1.0,10,False
Rapid,1.0,1.0,1.0,5,False
Rowenta,1.0,1.0,1.0,15,False
Scarlett,1.0,1.0,1.0,4,False
Ballu,1.0,1.0,1.0,13,False
ATLANT,1.0,1.0,1.0,10,False
Ariston,1.0,1.0,1.0,7,False
realme,1.0,1.0,1.0,38,False
Toshiba,1.0,1.0,1.0,30,False
Tecno,1.0,1.0,1.0,35,False
